age;experience_years;daily_work_hours;sleep_hours;caffeine_intake;bugs_per_day;commits_per_day;meetings_per_day;screen_time;exercise_hours;burnout_level
;7.0;10.37;7.29;4.0;1.0;22.0;6.0;14.35;1.72;Low
29.0;11.0;13.72;5.82;2.0;15.0;7.0;6.0;15.83;1.55;High
;;4.68;7.51;6.0;16.0;23.0;1.0;5.75;0.61;Medium
37.0;16.0;8.18;7.41;0.0;9.0;29.0;2.0;10.13;1.01;
20.0;17.0;6.46;4.46;1.0;3.0;29.0;0.0;9.73;1.48;Low
;10.0;;8.55;7.0;10.0;2.0;1.0;10.09;0.31;Medium
20.0;3.0;13.2;6.43;6.0;16.0;15.0;9.0;16.83;1.19;High
20.0;15.0;11.24;5.96;4.0;11.0;1.0;5.0;14.93;1.44;Medium
28.0;16.0;10.62;8.78;1.0;9.0;5.0;1.0;12.3;1.7;Low
32.0;8.0;8.41;6.19;2.0;15.0;27.0;0.0;11.8;0.22;
20.0;5.0;10.71;7.61;3.0;3.0;16.0;7.0;14.14;0.66;Medium
32.0;19.0;4.32;7.28;5.0;2.0;11.0;8.0;7.23;1.08;Low
39.0;1.0;9.86;4.83;4.0;8.0;8.0;6.0;14.67;1.4;Medium
41.0;8.0;9.54;8.96;2.0;5.0;15.0;2.0;10.97;1.46;Low
26.0;5.0;7.47;6.32;4.0;11.0;6.0;0.0;10.1;0.51;Low
21.0;2.0;6.02;5.97;3.0;0.0;7.0;3.0;10.55;0.03;Low
25.0;19.0;12.08;8.6;7.0;13.0;6.0;9.0;14.63;1.39;High
26.0;5.0;4.54;6.65;0.0;9.0;20.0;2.0;7.24;1.82;Low
33.0;6.0;4.7;7.53;6.0;;4.0;2.0;8.37;1.6;Medium
37.0;0.0;8.41;8.23;0.0;12.0;22.0;1.0;12.07;1.24;Medium
34.0;0.0;6.53;5.18;5.0;8.0;6.0;9.0;7.62;1.96;Medium
21.0;4.0;11.45;4.85;0.0;18.0;17.0;2.0;14.27;0.87;High
29.0;5.0;10.34;4.34;7.0;3.0;17.0;4.0;12.67;1.05;Medium
42.0;12.0;11.73;8.49;6.0;2.0;15.0;3.0;15.24;0.02;Medium
31.0;1.0;7.25;5.0;6.0;5.0;6.0;0.0;10.47;1.89;Low
36.0;14.0;11.41;5.54;7.0;8.0;20.0;0.0;15.01;;High
27.0;14.0;;5.43;3.0;9.0;1.0;0.0;16.24;0.78;Medium
30.0;12.0;7.45;5.52;1.0;8.0;16.0;9.0;9.47;0.09;Medium
22.0;13.0;7.4;7.34;;16.0;24.0;8.0;9.39;0.72;
25.0;6.0;13.0;8.77;3.0;9.0;26.0;8.0;15.48;0.01;Medium
28.0;13.0;4.5;5.65;3.0;5.0;7.0;8.0;6.47;0.65;Medium
25.0;9.0;7.5;6.04;2.0;15.0;1.0;9.0;11.23;1.9;High
28.0;16.0;5.19;7.86;7.0;16.0;17.0;;8.6;0.31;Medium
26.0;13.0;4.29;6.16;0.0;10.0;18.0;3.0;6.16;1.09;Low
28.0;7.0;5.13;8.63;4.0;19.0;19.0;9.0;9.67;0.37;High
37.0;3.0;8.31;6.52;6.0;6.0;8.0;6.0;11.15;1.57;Medium
31.0;15.0;10.87;5.74;5.0;3.0;11.0;2.0;12.38;1.12;Medium
27.0;12.0;6.89;8.86;1.0;9.0;21.0;9.0;8.74;0.4;Medium
;19.0;12.5;6.13;6.0;13.0;18.0;2.0;15.66;1.73;Medium
37.0;17.0;8.38;5.16;4.0;16.0;29.0;3.0;10.73;1.57;Medium
39.0;13.0;13.68;4.89;2.0;13.0;7.0;5.0;18.08;1.9;High
34.0;17.0;13.54;8.98;;19.0;21.0;0.0;16.52;0.0;High
26.0;4.0;11.73;7.76;2.0;12.0;7.0;2.0;16.39;0.91;Medium
30.0;8.0;13.32;6.04;1.0;1.0;9.0;4.0;14.73;2.0;Medium
39.0;2.0;11.07;8.13;4.0;8.0;27.0;3.0;14.74;1.62;Medium
35.0;7.0;12.96;6.73;1.0;2.0;17.0;7.0;17.5;1.66;Medium
23.0;19.0;6.36;5.59;1.0;3.0;14.0;8.0;8.53;1.24;Medium
25.0;9.0;7.45;7.72;0.0;11.0;23.0;7.0;8.99;1.43;Medium
41.0;18.0;11.53;7.73;7.0;14.0;10.0;8.0;14.36;1.61;High
22.0;2.0;8.25;6.5;4.0;19.0;20.0;7.0;13.1;0.18;High
28.0;10.0;12.37;4.23;0.0;7.0;25.0;9.0;15.9;1.39;High
29.0;10.0;12.78;4.39;6.0;17.0;13.0;0.0;16.36;1.63;High
33.0;16.0;7.0;7.94;0.0;4.0;14.0;6.0;10.69;0.08;Low
30.0;15.0;12.23;8.12;6.0;1.0;13.0;8.0;13.39;0.59;Medium
37.0;6.0;5.54;7.39;5.0;8.0;11.0;0.0;8.32;0.65;Low
41.0;3.0;7.34;8.2;0.0;13.0;3.0;;8.65;1.71;Medium
31.0;18.0;9.18;7.6;3.0;0.0;2.0;0.0;11.44;1.56;Low
42.0;11.0;6.26;8.48;2.0;19.0;11.0;9.0;10.55;1.31;Medium
31.0;14.0;9.79;4.75;2.0;3.0;24.0;1.0;13.42;1.61;Low
32.0;10.0;9.79;5.94;3.0;16.0;25.0;4.0;14.77;0.91;High
44.0;4.0;6.07;6.32;6.0;9.0;6.0;7.0;7.76;1.75;Medium
32.0;;11.96;5.49;6.0;1.0;6.0;7.0;14.55;0.47;Medium
38.0;14.0;10.32;7.63;7.0;5.0;21.0;9.0;14.56;1.41;Medium
38.0;17.0;7.18;8.56;1.0;18.0;24.0;3.0;9.04;0.48;Low
42.0;10.0;6.32;6.06;4.0;8.0;18.0;6.0;7.93;0.08;Medium
33.0;;12.79;8.71;4.0;18.0;13.0;6.0;15.5;0.57;High
23.0;1.0;12.36;6.58;4.0;18.0;0.0;8.0;14.89;0.99;High
32.0;19.0;6.3;6.61;0.0;8.0;6.0;8.0;11.22;1.69;Low
27.0;14.0;4.36;7.0;4.0;2.0;24.0;2.0;7.19;1.02;Low
42.0;19.0;12.05;5.34;4.0;;21.0;7.0;16.49;0.36;High
40.0;3.0;10.16;5.92;6.0;5.0;9.0;4.0;14.71;1.99;Medium
42.0;17.0;5.01;6.77;4.0;16.0;17.0;4.0;6.64;0.54;Medium
38.0;5.0;9.87;8.71;2.0;12.0;12.0;7.0;13.73;1.97;High
31.0;18.0;8.52;7.21;3.0;12.0;7.0;5.0;10.63;1.87;High
;10.0;11.75;5.67;5.0;6.0;8.0;9.0;13.13;1.08;High
25.0;1.0;6.09;;6.0;8.0;25.0;9.0;10.59;0.18;High
37.0;7.0;8.53;8.91;1.0;17.0;14.0;0.0;10.7;1.39;Low
38.0;10.0;5.56;6.46;3.0;0.0;7.0;3.0;7.94;1.69;Low
41.0;4.0;13.58;8.69;4.0;19.0;24.0;8.0;15.88;0.89;High
24.0;17.0;11.79;6.75;1.0;12.0;0.0;4.0;13.59;;High
43.0;17.0;11.37;7.03;1.0;7.0;2.0;3.0;14.11;1.61;Medium
28.0;13.0;10.9;7.56;3.0;8.0;18.0;9.0;13.61;1.09;High
;9.0;8.23;5.6;3.0;0.0;29.0;0.0;10.87;0.4;Low
29.0;2.0;13.23;7.49;3.0;8.0;8.0;8.0;17.9;1.9;High
38.0;8.0;4.73;6.63;6.0;19.0;18.0;7.0;7.09;1.9;Medium
22.0;2.0;12.03;7.36;6.0;10.0;14.0;2.0;13.15;0.73;Medium
;;6.15;8.18;5.0;19.0;13.0;8.0;7.86;0.13;Medium
34.0;11.0;7.24;4.92;3.0;3.0;25.0;0.0;11.13;1.26;Medium
20.0;11.0;9.19;7.07;5.0;15.0;0.0;3.0;12.55;0.63;Medium
26.0;2.0;11.83;4.26;0.0;13.0;2.0;4.0;16.64;0.13;High
31.0;6.0;12.39;4.51;7.0;19.0;1.0;3.0;16.17;1.78;High
36.0;13.0;9.84;7.37;2.0;17.0;24.0;3.0;11.62;2.0;Medium
40.0;10.0;8.03;4.35;7.0;8.0;29.0;8.0;9.51;0.7;High
43.0;6.0;13.47;6.98;5.0;0.0;0.0;4.0;16.55;1.49;Medium
39.0;9.0;6.47;5.1;2.0;2.0;26.0;0.0;10.13;0.13;Medium
24.0;10.0;12.03;5.52;4.0;19.0;17.0;6.0;13.69;0.74;High
23.0;14.0;10.12;4.65;0.0;0.0;0.0;5.0;13.53;0.22;Medium
31.0;18.0;7.77;5.24;1.0;2.0;8.0;8.0;12.23;0.11;Medium
39.0;15.0;4.01;8.11;;13.0;6.0;3.0;7.92;1.18;Low
43.0;19.0;8.47;7.19;4.0;13.0;29.0;;12.13;1.6;Medium
37.0;11.0;6.77;8.75;1.0;12.0;12.0;5.0;10.93;0.91;Medium
36.0;17.0;5.04;4.24;6.0;0.0;16.0;9.0;6.46;1.05;Medium
38.0;12.0;4.75;7.96;2.0;14.0;12.0;6.0;6.57;0.54;Low
28.0;4.0;7.48;7.5;1.0;19.0;12.0;3.0;8.63;1.47;Medium
23.0;3.0;10.15;5.3;7.0;6.0;9.0;8.0;11.73;0.72;High
40.0;13.0;12.38;7.65;3.0;15.0;27.0;0.0;17.03;0.13;High
21.0;7.0;5.84;7.58;3.0;19.0;5.0;0.0;7.73;0.33;Medium
23.0;8.0;8.25;6.3;7.0;0.0;4.0;2.0;11.9;0.26;Low
21.0;;7.92;7.44;5.0;14.0;9.0;;11.69;0.87;High
34.0;2.0;9.13;6.22;5.0;;13.0;4.0;12.71;0.13;High
21.0;4.0;12.1;5.68;6.0;14.0;10.0;0.0;15.32;1.61;High
23.0;17.0;9.54;6.33;2.0;18.0;4.0;4.0;12.48;1.82;Medium
25.0;0.0;12.47;8.48;3.0;5.0;3.0;5.0;15.15;0.5;Medium
26.0;7.0;9.19;5.92;0.0;5.0;2.0;3.0;13.86;0.97;Medium
29.0;;10.04;6.02;4.0;0.0;13.0;6.0;11.08;1.04;Medium
38.0;16.0;8.37;7.04;2.0;15.0;12.0;2.0;9.58;1.97;Medium
38.0;16.0;12.23;7.76;2.0;17.0;23.0;4.0;;0.13;High
41.0;10.0;13.24;7.67;1.0;12.0;22.0;5.0;15.56;1.34;High
31.0;1.0;10.39;4.1;2.0;11.0;4.0;6.0;13.02;0.69;High
22.0;5.0;12.21;7.44;6.0;17.0;11.0;9.0;17.2;1.0;High
32.0;13.0;4.59;6.25;7.0;9.0;24.0;1.0;8.69;0.43;Low
37.0;2.0;13.06;6.62;4.0;13.0;27.0;4.0;17.57;0.32;High
;11.0;5.89;6.81;0.0;19.0;22.0;6.0;;0.49;High
40.0;3.0;6.57;7.66;1.0;10.0;9.0;6.0;8.53;0.14;Medium
34.0;11.0;4.53;8.16;4.0;17.0;;2.0;8.6;0.56;Low
20.0;12.0;13.65;7.23;7.0;11.0;6.0;7.0;17.88;1.38;High
22.0;1.0;12.52;6.82;;16.0;6.0;0.0;15.72;1.3;High
27.0;1.0;13.13;5.87;5.0;2.0;3.0;3.0;17.71;1.11;Medium
23.0;14.0;12.47;4.69;2.0;0.0;11.0;2.0;17.34;0.0;Medium
35.0;16.0;8.8;8.79;6.0;0.0;27.0;3.0;11.68;0.25;Low
42.0;6.0;13.24;6.31;3.0;5.0;23.0;;15.13;1.69;High
29.0;13.0;13.69;6.83;5.0;18.0;3.0;7.0;16.76;0.54;High
31.0;11.0;9.03;7.76;3.0;3.0;6.0;3.0;13.99;1.82;Low
33.0;16.0;5.76;4.34;4.0;12.0;19.0;7.0;7.93;1.75;Medium
33.0;13.0;10.59;8.28;0.0;11.0;12.0;0.0;14.06;0.31;Medium
21.0;5.0;13.75;7.99;3.0;7.0;7.0;7.0;17.53;1.8;High
42.0;18.0;12.72;7.87;6.0;19.0;13.0;9.0;14.58;1.26;High
24.0;5.0;12.62;4.11;4.0;6.0;29.0;1.0;15.97;1.26;Medium
24.0;17.0;13.34;6.63;1.0;6.0;2.0;5.0;15.6;1.71;Medium
25.0;4.0;12.94;4.27;2.0;6.0;1.0;5.0;17.36;0.81;High
32.0;5.0;11.76;6.75;0.0;13.0;9.0;2.0;15.62;1.47;Medium
28.0;1.0;11.18;7.59;7.0;17.0;5.0;4.0;15.49;1.34;High
41.0;7.0;6.65;4.61;6.0;18.0;22.0;1.0;8.45;1.54;Medium
34.0;14.0;10.21;7.47;6.0;19.0;6.0;7.0;11.35;1.32;High
33.0;14.0;;6.25;0.0;18.0;15.0;7.0;13.61;0.16;High
43.0;10.0;12.62;8.06;1.0;17.0;5.0;4.0;15.17;0.59;High
26.0;0.0;8.92;6.67;0.0;5.0;15.0;6.0;10.64;1.88;Medium
44.0;17.0;5.28;5.68;4.0;15.0;26.0;7.0;6.65;0.45;Medium
39.0;11.0;4.05;5.66;0.0;2.0;23.0;3.0;7.12;0.94;Low
21.0;11.0;10.78;8.49;0.0;1.0;11.0;1.0;12.38;0.71;Low
26.0;10.0;9.5;6.26;0.0;14.0;21.0;4.0;12.77;0.17;Medium
25.0;7.0;7.31;6.03;7.0;19.0;14.0;6.0;11.22;0.36;
36.0;6.0;5.69;4.2;4.0;10.0;21.0;3.0;8.83;0.57;Low
44.0;1.0;8.67;5.82;5.0;18.0;2.0;3.0;13.28;0.93;High
44.0;10.0;5.0;8.25;2.0;17.0;27.0;3.0;6.62;1.75;Low
21.0;9.0;7.36;7.8;3.0;10.0;15.0;8.0;10.34;1.03;
22.0;2.0;7.79;5.1;5.0;2.0;17.0;8.0;9.44;1.3;
24.0;19.0;8.66;6.07;0.0;3.0;14.0;9.0;13.16;0.85;Medium
24.0;9.0;8.67;4.98;1.0;5.0;22.0;7.0;13.4;1.74;Medium
20.0;17.0;6.57;8.77;6.0;11.0;5.0;7.0;9.17;1.33;Medium
27.0;13.0;12.5;6.99;1.0;3.0;16.0;6.0;14.72;0.18;Medium
31.0;17.0;7.56;7.77;4.0;11.0;1.0;0.0;9.68;0.96;Low
43.0;7.0;6.3;7.57;2.0;;1.0;7.0;10.74;1.65;Low
23.0;9.0;5.76;8.37;0.0;1.0;16.0;3.0;9.49;1.47;Low
32.0;12.0;7.23;8.75;4.0;11.0;18.0;0.0;11.75;1.81;Low
42.0;7.0;4.68;4.16;3.0;12.0;;0.0;6.15;0.46;Medium
34.0;3.0;4.33;8.88;2.0;15.0;3.0;2.0;7.23;1.95;Low
30.0;3.0;10.05;8.35;2.0;3.0;27.0;2.0;13.75;0.57;Medium
29.0;4.0;10.19;5.91;4.0;7.0;17.0;9.0;14.78;0.1;Medium
22.0;0.0;9.3;8.19;5.0;4.0;7.0;0.0;11.83;0.99;Low
41.0;16.0;11.62;7.68;6.0;13.0;8.0;7.0;13.87;0.22;High
33.0;1.0;4.39;7.97;1.0;14.0;23.0;3.0;9.04;1.36;Low
35.0;7.0;13.36;5.1;5.0;10.0;22.0;3.0;14.55;1.8;High
29.0;6.0;4.95;7.24;2.0;9.0;25.0;5.0;7.87;1.84;Low
29.0;14.0;10.74;4.13;1.0;9.0;17.0;8.0;13.57;1.21;High
31.0;4.0;5.33;8.24;2.0;5.0;21.0;8.0;6.91;1.07;Low
28.0;1.0;12.8;8.76;7.0;15.0;10.0;7.0;15.38;1.99;High
20.0;6.0;9.11;7.31;6.0;3.0;15.0;0.0;13.0;1.16;Low
24.0;;4.82;6.56;2.0;8.0;15.0;9.0;7.29;1.85;Low
39.0;6.0;10.17;7.63;2.0;9.0;3.0;9.0;12.41;1.83;Medium
27.0;6.0;4.09;5.63;3.0;4.0;20.0;1.0;;0.58;Low
30.0;13.0;11.76;7.13;1.0;9.0;8.0;2.0;16.71;0.03;High
31.0;17.0;10.51;7.59;3.0;15.0;12.0;4.0;14.63;;High
20.0;5.0;;4.71;1.0;10.0;24.0;4.0;10.52;1.72;Low
44.0;3.0;7.75;4.7;6.0;5.0;19.0;9.0;12.51;1.67;High
41.0;9.0;4.08;7.58;6.0;6.0;7.0;7.0;8.29;1.21;Low
39.0;17.0;10.94;6.16;7.0;;10.0;1.0;15.86;0.31;High
44.0;11.0;7.23;8.45;3.0;12.0;20.0;1.0;11.22;0.22;Medium
30.0;15.0;9.72;5.56;3.0;;8.0;7.0;13.37;1.91;High
24.0;6.0;13.57;4.21;3.0;8.0;17.0;0.0;17.34;0.84;Medium
34.0;5.0;6.99;7.25;6.0;7.0;19.0;8.0;11.59;1.3;Medium
24.0;4.0;13.9;7.42;6.0;15.0;2.0;1.0;17.63;1.81;High
31.0;2.0;10.33;6.77;4.0;2.0;22.0;4.0;14.37;1.74;
24.0;11.0;6.42;7.42;3.0;4.0;29.0;2.0;8.28;1.13;Low
36.0;14.0;8.37;6.62;7.0;12.0;17.0;;13.02;;Medium
36.0;9.0;11.4;7.46;5.0;17.0;18.0;7.0;14.19;1.47;High
43.0;19.0;8.46;4.22;5.0;15.0;8.0;7.0;10.1;0.7;High
31.0;18.0;4.69;5.84;2.0;13.0;23.0;5.0;8.89;1.25;Medium
43.0;15.0;5.69;5.05;0.0;10.0;17.0;8.0;8.12;0.05;Medium
34.0;10.0;11.91;4.5;3.0;17.0;21.0;6.0;13.65;1.65;High
34.0;7.0;10.48;5.17;0.0;7.0;15.0;1.0;12.51;2.0;Medium
25.0;2.0;9.7;4.96;0.0;11.0;13.0;0.0;10.84;1.91;
31.0;6.0;5.68;8.87;2.0;18.0;18.0;7.0;7.04;0.72;Medium
39.0;6.0;12.38;5.43;0.0;19.0;27.0;0.0;15.75;1.06;High
37.0;13.0;13.61;5.15;7.0;1.0;28.0;7.0;18.07;0.47;High
33.0;1.0;4.41;8.17;6.0;8.0;21.0;8.0;7.2;0.61;Medium
21.0;9.0;4.78;6.1;0.0;8.0;29.0;0.0;8.28;0.91;Low
28.0;18.0;12.85;6.11;6.0;13.0;14.0;6.0;17.09;1.49;High
24.0;8.0;12.16;6.22;6.0;14.0;20.0;4.0;14.59;0.04;High
39.0;15.0;10.18;6.08;5.0;10.0;25.0;7.0;13.8;0.79;High
20.0;18.0;13.45;5.63;6.0;12.0;3.0;3.0;15.85;1.11;High
42.0;17.0;10.46;5.43;0.0;4.0;11.0;1.0;14.03;0.43;
22.0;8.0;6.16;8.41;1.0;5.0;6.0;6.0;8.03;0.16;Low
25.0;15.0;11.29;4.81;7.0;4.0;10.0;6.0;16.2;1.08;Medium
24.0;12.0;10.46;4.91;3.0;0.0;25.0;7.0;11.76;1.28;High
40.0;9.0;13.86;6.86;7.0;17.0;6.0;8.0;16.88;1.28;High
24.0;19.0;6.14;5.72;7.0;7.0;19.0;5.0;8.29;0.71;Medium
20.0;13.0;9.98;6.11;3.0;16.0;2.0;2.0;13.38;0.47;Medium
36.0;11.0;11.8;8.03;0.0;;;4.0;14.51;0.44;Medium
38.0;18.0;7.39;8.52;2.0;10.0;1.0;2.0;9.62;0.08;Medium
33.0;6.0;7.8;7.95;1.0;2.0;19.0;9.0;9.8;0.37;Medium
31.0;14.0;12.88;5.17;2.0;7.0;14.0;8.0;14.61;1.64;High
29.0;15.0;8.04;8.9;2.0;7.0;19.0;4.0;12.17;0.01;Medium
39.0;7.0;10.25;5.82;0.0;2.0;11.0;6.0;12.14;0.09;Medium
40.0;9.0;12.89;4.85;4.0;9.0;20.0;9.0;16.98;0.25;High
37.0;3.0;6.1;6.5;0.0;18.0;16.0;6.0;9.04;0.84;Medium
43.0;18.0;13.82;7.63;5.0;13.0;17.0;6.0;15.11;0.67;High
30.0;18.0;11.02;4.42;4.0;17.0;7.0;9.0;12.68;0.36;High
21.0;14.0;8.96;7.17;6.0;2.0;23.0;3.0;13.53;0.22;Medium
44.0;13.0;8.31;8.29;1.0;19.0;7.0;3.0;11.72;1.88;Medium
37.0;0.0;13.54;5.31;4.0;13.0;4.0;2.0;15.28;1.82;High
44.0;15.0;6.06;7.47;0.0;10.0;23.0;;9.88;1.54;Medium
26.0;9.0;7.12;6.0;0.0;9.0;8.0;8.0;11.41;0.5;Medium
43.0;18.0;7.08;6.07;2.0;13.0;29.0;4.0;9.4;0.65;Medium
34.0;2.0;6.89;5.4;0.0;0.0;19.0;5.0;10.12;1.33;Medium
30.0;4.0;8.69;7.12;6.0;15.0;19.0;3.0;10.86;0.58;Medium
37.0;8.0;13.89;5.8;5.0;5.0;22.0;0.0;15.21;;Medium
;17.0;12.89;8.15;0.0;17.0;4.0;6.0;15.49;1.3;High
31.0;10.0;7.28;8.81;3.0;15.0;26.0;;11.29;1.04;Medium
25.0;15.0;;8.68;3.0;18.0;9.0;5.0;11.06;0.83;Medium
39.0;1.0;10.69;4.82;2.0;15.0;0.0;3.0;13.31;0.7;High
42.0;11.0;4.17;4.07;4.0;4.0;23.0;9.0;6.63;1.56;Medium
32.0;5.0;12.2;6.19;4.0;11.0;3.0;7.0;15.04;1.48;High
39.0;10.0;12.8;7.64;3.0;5.0;23.0;7.0;15.07;1.39;High
35.0;7.0;12.57;8.89;5.0;1.0;15.0;0.0;16.02;0.75;Low
37.0;11.0;7.75;7.92;1.0;15.0;17.0;8.0;9.0;1.55;Medium
29.0;1.0;8.62;6.9;6.0;10.0;27.0;7.0;12.85;1.92;Medium
42.0;8.0;4.12;4.13;7.0;11.0;11.0;1.0;5.81;1.38;Low
27.0;14.0;7.99;8.13;6.0;10.0;19.0;8.0;11.52;0.82;Medium
37.0;1.0;8.6;4.89;6.0;19.0;14.0;3.0;11.4;1.59;High
40.0;;13.07;4.28;5.0;18.0;17.0;9.0;17.16;1.22;High
20.0;9.0;12.94;8.25;3.0;7.0;4.0;5.0;17.24;1.76;Medium
42.0;1.0;13.66;6.83;6.0;17.0;25.0;1.0;15.48;1.43;High
27.0;11.0;12.85;4.64;;4.0;25.0;9.0;16.56;1.54;High
25.0;7.0;4.08;5.93;1.0;11.0;13.0;3.0;5.84;1.33;Low
24.0;;;4.43;4.0;;23.0;1.0;11.91;0.18;Medium
34.0;0.0;4.68;7.19;3.0;14.0;26.0;8.0;9.4;0.97;Medium
41.0;14.0;6.73;5.41;7.0;4.0;6.0;8.0;8.39;0.11;Medium
34.0;5.0;9.78;8.33;0.0;16.0;10.0;4.0;11.69;0.9;Medium
21.0;11.0;11.01;5.79;6.0;3.0;14.0;2.0;12.53;1.43;Medium
20.0;7.0;10.55;6.47;1.0;11.0;20.0;2.0;13.43;0.84;Medium
42.0;12.0;4.49;4.32;;17.0;10.0;0.0;9.17;0.0;Low
42.0;18.0;5.04;5.38;1.0;7.0;6.0;7.0;7.1;0.74;Low
30.0;0.0;5.29;7.38;4.0;19.0;20.0;2.0;8.46;0.14;Medium
29.0;10.0;4.91;7.68;5.0;16.0;22.0;3.0;7.56;1.56;Low
37.0;19.0;5.78;5.21;2.0;7.0;19.0;1.0;8.12;1.57;Low
37.0;0.0;10.88;6.52;6.0;12.0;19.0;7.0;14.17;1.61;High
36.0;7.0;12.31;8.09;0.0;2.0;25.0;2.0;15.55;0.06;Low
27.0;4.0;8.09;5.9;6.0;2.0;3.0;1.0;10.53;0.06;Medium
34.0;16.0;10.93;4.67;3.0;;26.0;0.0;15.33;1.81;Medium
27.0;7.0;6.0;6.16;7.0;17.0;23.0;9.0;7.21;0.25;Medium
36.0;9.0;13.73;7.0;5.0;6.0;0.0;1.0;15.07;1.34;Medium
31.0;1.0;7.5;4.04;1.0;1.0;25.0;1.0;12.46;1.59;Low
27.0;8.0;12.46;5.74;7.0;6.0;20.0;3.0;16.45;0.9;Medium
44.0;2.0;13.45;7.04;6.0;1.0;27.0;0.0;17.67;1.09;Medium
33.0;17.0;12.65;8.76;4.0;6.0;25.0;0.0;16.06;0.45;Medium
23.0;6.0;4.67;6.04;1.0;13.0;1.0;5.0;7.35;;Low
20.0;14.0;10.5;4.81;5.0;14.0;25.0;4.0;14.02;0.6;High
20.0;19.0;5.2;6.67;3.0;15.0;3.0;0.0;6.57;0.44;Low
38.0;17.0;4.06;5.43;7.0;7.0;;5.0;8.09;1.05;Medium
35.0;2.0;4.52;5.07;0.0;15.0;23.0;7.0;7.68;0.38;Medium
33.0;13.0;13.16;6.95;1.0;6.0;1.0;4.0;17.99;1.37;High
40.0;1.0;13.08;8.58;6.0;10.0;1.0;2.0;16.63;1.03;Medium
35.0;13.0;6.26;8.18;;3.0;17.0;2.0;7.87;0.3;Low
24.0;10.0;9.47;4.91;7.0;17.0;29.0;1.0;12.38;0.13;High
28.0;15.0;13.55;7.83;4.0;12.0;23.0;8.0;14.78;0.27;High
21.0;7.0;8.97;5.15;7.0;16.0;27.0;8.0;12.95;0.27;High
37.0;6.0;7.94;5.45;4.0;11.0;;6.0;10.95;0.63;High
25.0;10.0;8.83;8.6;2.0;17.0;2.0;0.0;11.31;1.67;Low
28.0;2.0;11.9;;4.0;9.0;20.0;0.0;16.77;0.11;Medium
20.0;16.0;8.77;4.84;2.0;6.0;17.0;3.0;13.53;0.26;Medium
28.0;13.0;11.83;4.32;0.0;11.0;21.0;1.0;;0.61;Medium
44.0;5.0;8.32;5.47;3.0;;9.0;2.0;10.2;1.11;Medium
35.0;7.0;6.52;6.91;2.0;12.0;5.0;1.0;10.43;1.53;Low
32.0;4.0;7.26;8.38;1.0;0.0;1.0;0.0;12.04;1.84;Low
28.0;7.0;;4.59;5.0;6.0;19.0;2.0;8.06;0.82;Medium
40.0;1.0;8.97;6.07;6.0;15.0;10.0;6.0;10.83;0.21;Medium
32.0;14.0;5.48;5.36;1.0;15.0;17.0;9.0;9.75;0.43;Medium
28.0;11.0;12.12;4.07;6.0;15.0;13.0;8.0;16.64;0.57;High
30.0;16.0;8.21;7.94;3.0;15.0;25.0;9.0;12.02;1.57;Medium
23.0;0.0;11.65;8.07;7.0;13.0;19.0;8.0;13.82;1.37;High
21.0;14.0;13.54;5.11;4.0;10.0;12.0;7.0;15.3;0.42;High
;13.0;12.49;4.76;5.0;18.0;28.0;5.0;;1.68;High
33.0;19.0;13.51;4.72;1.0;10.0;26.0;0.0;16.44;1.72;High
23.0;15.0;9.68;6.32;5.0;1.0;6.0;7.0;13.36;1.76;Medium
25.0;8.0;5.65;5.23;2.0;6.0;20.0;7.0;7.1;0.55;Low
38.0;0.0;13.35;6.56;3.0;8.0;25.0;8.0;14.89;0.27;High
25.0;16.0;12.69;5.92;1.0;8.0;19.0;9.0;15.14;0.21;High
21.0;12.0;12.64;5.05;4.0;13.0;9.0;5.0;14.68;0.8;High
37.0;4.0;10.93;7.76;5.0;9.0;25.0;2.0;14.41;0.86;Medium
32.0;9.0;10.25;4.75;4.0;15.0;18.0;5.0;12.72;1.74;High
28.0;5.0;4.15;7.99;5.0;17.0;28.0;7.0;7.89;0.54;Medium
42.0;18.0;11.48;6.81;1.0;0.0;28.0;;15.56;1.25;Medium
38.0;12.0;4.92;8.16;3.0;1.0;12.0;7.0;6.67;1.58;Low
32.0;0.0;6.6;4.02;0.0;19.0;21.0;2.0;11.28;0.54;Medium
30.0;19.0;9.51;7.75;1.0;3.0;1.0;7.0;13.66;0.53;Medium
20.0;14.0;8.52;4.26;4.0;1.0;19.0;4.0;12.03;1.34;Medium
43.0;13.0;4.16;8.75;0.0;3.0;11.0;6.0;8.8;1.45;Low
41.0;7.0;12.24;7.51;7.0;5.0;7.0;3.0;14.3;1.92;Medium
26.0;9.0;12.79;5.6;3.0;3.0;17.0;2.0;15.48;1.7;Medium
44.0;8.0;10.82;5.6;4.0;17.0;24.0;5.0;12.16;1.64;
40.0;16.0;9.41;8.31;3.0;4.0;1.0;8.0;12.23;1.38;Medium
34.0;8.0;13.61;8.51;5.0;10.0;15.0;3.0;16.64;0.24;Medium
20.0;2.0;5.2;8.46;1.0;12.0;7.0;8.0;8.66;1.62;Low
31.0;10.0;11.38;8.04;3.0;2.0;15.0;2.0;12.64;1.87;Low
26.0;11.0;5.28;8.1;4.0;18.0;7.0;5.0;6.41;0.78;Medium
34.0;9.0;7.82;6.86;1.0;19.0;22.0;4.0;10.5;0.63;Medium
40.0;16.0;9.85;4.14;6.0;10.0;29.0;8.0;11.61;1.04;High
